"","port_origin","voyage_id","ship_name","place_of_purchase","port_arrival","year_arrival","n_slaves_arrived","captains_name","country","lat","lng"
"2179","Bahia","50538","NS do Monte e Santiago","Costa da Mina","Bahia","1729",NA,"Lisboa, Maurício Moreira",NA,NA,NA
"2180","Bahia","50539","NS da Barroquinha e S Rita","Costa da Mina","Bahia","1729",NA,"Marques, Antônio<br/> Ferreira, Dionísio",NA,NA,NA
"2181","Bahia","50542","NS Mãe de Deus","Princes Island","Bahia","1728",NA,"Souto, Francisco Roque de",NA,NA,NA
"2182","Bahia","50547","S João Batista e NS da Piedade","Costa da Mina","Bahia","1729",NA,"Souza, João Ferreira<br/> Nunes, Luís",NA,NA,NA
"2183","Bahia","50548","NS da Conceição e S Antônio da Mouraria","Jacquin","Bahia","1730",NA,"Brito, Antônio Nunes de",NA,NA,NA
"2184","Bahia","50554","NS da Piedade e S Félix","Costa da Mina","Bahia","1731","219","Gouvêa, Felix José de<br/> Correa, Francisco<br/> Costa, Francisco Félix da",NA,NA,NA
"2185","Bahia","50557","NS do Monte e Santiago","Costa da Mina","Bahia","1730","394","Costa, Manoel Francisco da",NA,NA,NA
"2186","Bahia","50558","NS de Nazaré e S José","Costa da Mina","Bahia","1730","492","Reis, Baltasar dos<br/> Serra, Francisco da Silva",NA,NA,NA
"2187","Bahia","50561","NS do Rosario S Antônio e Almas","Jacquin","Bahia","1731","252","Torres, Manoel da Fonseca",NA,NA,NA
"2188","Bahia","50562","Jesus Maria José e NS da Graça","Sao Tome","Bahia","1731","65","Lima, Antônio de Araújo<br/> Souza, Francisco de Paula",NA,NA,NA
"2189","Bahia","50565","NS da Boa Hora e Barroquinha (e S Rita)","Whydah","Bahia","1730","386","Freitas, Antônio de Souza<br/> Calado, José de Almeida",NA,NA,NA
"2190","Bahia","50570","NS da Guia e S Boaventura","Costa da Mina","Bahia","1732","314","Monteiro, Antônio Nunes<br/> Figueiredo, Manoel Francisco",NA,NA,NA
"2191","Bahia","50571","NS das Mercês e S José","Sao Tome","Bahia","1731","129","Vasconcelos, Antônio Ribeiro de",NA,NA,NA
"2192","Bahia","50572","NS da Conceição e Esperança","Costa da Mina","Bahia","1732","555","Costa, João Soares da<br/> Belém, José do Livramento",NA,NA,NA
"2193","Bahia","50576","NS do Monte S Antônio e Almas","Sao Tome","Bahia","1730",NA,"Pereira, Silvestre",NA,NA,NA
"2194","Bahia","50581","S João Batista e NS da Piedade","Costa da Mina","Bahia","1731","590","Santos, José Pereira dos<br/> Freitas, Veríssimo de",NA,NA,NA
"2195","Bahia","50583","NS do Rosario S Antônio e Almas","Costa da Mina","Bahia","1732","323","Pereira, Francisco<br/> Lima, Antônio",NA,NA,NA
"2196","Bahia","50587","NS do Rosario S Antônio e Almas","Costa da Mina","Bahia","1732","248","Ribeiro, Domingos Pires<br/> Galiza, Bento Fernandes",NA,NA,NA
"2197","Bahia","50590","Santiago e Almas","Costa da Mina","Bahia","1733","442","Reis, Francisco Lopes dos<br/> Maciel, Manoel Dias",NA,NA,NA
"2198","Bahia","50591","NS das Mercês e S José","Sao Tome","Bahia","1732","23","Vasconcelos, Antônio Ribeiro de<br/> Nunes, Pedro",NA,NA,NA
"2199","Bahia","50592","NS do Pilar S Antônio e Almas","Costa da Mina","Bahia","1731","335","Bastos, Manoel Fernandes",NA,NA,NA
"2200","Bahia","50593","NS da Piedade e S Félix","Costa da Mina","Bahia","1733","311","Carvalho, José de Matos",NA,NA,NA
"2201","Bahia","50608","NS da Piedade e S Félix","Costa da Mina","Bahia","1734","241","Coelho, Jerônimo da Silva",NA,NA,NA
"2202","Bahia","50614","NS do Bonsucesso e Almas","Princes Island","Bahia","1733",NA,"Mendonça, João Furtado de",NA,NA,NA
"2203","Bahia","50635","NS dos Milagres S José e Almas","Costa da Mina","Bahia","1742","326","Pereira, José da Cunha",NA,NA,NA
"2204","Bahia","50642","Bom Jesus de Vilanova e Almas","Costa da Mina","Bahia","1742","473","Ferreira, Antônio de Bastos",NA,NA,NA
"2205","Bahia","50643","Santana e Almas","Costa da Mina","Bahia","1742",NA,"Silva, Pedro da Costa e",NA,NA,NA
"2206","Bahia","50651","NS do Socorro e Bom Jesus da Vilanova","Costa da Mina","Bahia","1742",NA,"Moraes, João da Cruz de",NA,NA,NA
"2207","Bahia","50655","NS da Penha da França e Boa Hora","Costa da Mina","Bahia","1744","492","Moraes, Francisco Henriques de",NA,NA,NA
